0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierUnmatched,printGivenAndGeneratedCombinationsDerivedSaftey:->void,public,None,4,No Referencing Method,No Access Modifiers
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierUnmatched,generateSafeDistancesAndDurations:int->List,public,private,3,[util.SocialDistancingUtil],[private]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierUnmatched,printSafeDistancesAndDurations:int->void,public,None,4,No Referencing Method,No Access Modifiers
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,missingMethodCall,@BasicSocialDistanceUtility!isInterpolatedSafe:int;int->boolean,isInterpolatedSafe:int->boolean,[@BasicSocialDistanceUtility]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,expectedMethodCall,@BasicSocialDistanceUtility!isInterpolatedSafe:int;int;int->boolean,isInterpolatedSafe:int;int->boolean,[@BasicSocialDistanceUtility]
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,tags,@SocialDistanceView
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,nameInDictionary,view.SocialDistancingViewImpl,view
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,nameInDictionary,view.SocialDistancingViewImpl,social
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,nameInDictionary,view.SocialDistancingViewImpl,distancing
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,nameInDictionary,safe,safe
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,nameInDictionary,output,output
0,Mon Sep 14 23:09:06 EDT 2020,true,view/SocialDistancingViewImpl.java,nameInDictionary,evt,evt
